# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
8.376358821315099679e-02 0.000000000000000000e+00 2.715159402351300256e-03 7.444370948771734421e-03 8.249615545586404253e-03 8.335396028018407164e-03 8.344069896615853577e-03 8.344934734587078698e-03 8.345021214050882263e-03 8.345029869873080153e-03 8.345030730070953154e-03 8.345030816410654168e-03
9.282151978892702604e-02 0.000000000000000000e+00 2.667940989461414000e-03 9.238100021680368396e-03 1.053210149284829027e-02 1.067353861512997104e-02 1.068781939798750177e-02 1.068925131906598401e-02 1.068939423006685409e-02 1.068940860654991713e-02 1.068941005888578155e-02 1.068941019409083183e-02
1.028589476611446868e-01 0.000000000000000000e+00 2.413935470429446565e-03 1.120360665864804893e-02 1.328574519551569376e-02 1.352229490427070240e-02 1.354625124793187863e-02 1.354854608445063557e-02 1.354878620198622131e-02 1.354881021359855171e-02 1.354881261956211204e-02 1.354881286110232522e-02
1.139817914856013636e-01 0.000000000000000000e+00 1.986616561427451046e-03 1.328825135805608050e-02 1.664658621613736289e-02 1.704824810679087324e-02 1.708929702253077915e-02 1.709343051848040765e-02 1.709384557249508246e-02 1.709388612395493917e-02 1.709389035032029061e-02 1.709389076701788718e-02
1.263074247372921455e-01 0.000000000000000000e+00 1.459691073700101951e-03 1.539656969184591100e-02 2.078811591511115983e-02 2.147729578208032453e-02 2.154799330199352880e-02 2.155508368362882635e-02 2.155579617980193582e-02 2.155586758800952241e-02 2.155587475694761140e-02 2.155587550156912516e-02
1.399659132904753356e-01 0.000000000000000000e+00 9.333466557358323238e-04 1.736852836831132008e-02 2.589770542755675392e-02 2.708261916673103051e-02 2.720543531811989504e-02 2.721781041477724233e-02 2.721902892851116307e-02 2.721915091216170132e-02 2.721916308858367967e-02 2.721916430112388680e-02
1.551013879348994429e-01 0.000000000000000000e+00 4.965379924817218266e-04 1.897513583518327038e-02 3.215921877948482721e-02 3.415968420238133657e-02 3.438249956098154286e-02 3.440418417199487405e-02 3.440631028846748846e-02 3.440652242446217562e-02 3.440654362652589143e-02 3.440654574295994028e-02
1.718735653116279793e-01 0.000000000000000000e+00 2.006606598275018744e-04 1.995367725349412452e-02 3.968596601263284229e-02 4.307093087125694886e-02 4.343115802040017903e-02 4.346743045165131492e-02 4.347104385563889395e-02 4.347140657916256229e-02 4.347144291125474430e-02 4.347144657788439004e-02
1.904594333180916477e-01 0.000000000000000000e+00 5.111209279798608674e-05 2.006631333191809252e-02 4.851179051340622633e-02 5.410117635569733352e-02 5.470814436984658413e-02 5.476687704700898551e-02 5.477302771594699110e-02 5.477364333679953651e-02 5.477370498019365486e-02 5.477371107492085001e-02
2.110551187675540064e-01 0.000000000000000000e+00 4.329763143556283230e-06 1.919677633757132379e-02 5.852199758089435960e-02 6.758970469247888024e-02 6.862563413195624240e-02 6.873682575924149052e-02 6.874925746372767543e-02 6.875018389453450840e-02 6.875027994969089284e-02 6.875028962610489625e-02
2.338779570114110085e-01 0.000000000000000000e+00 9.724667842695377928e-11 1.741167153464268785e-02 6.941841034113654940e-02 8.382483707305635190e-02 8.547390386555404895e-02 8.564184896800942914e-02 8.565853314005528185e-02 8.566020089134719628e-02 8.566036792036710312e-02 8.566038424730915146e-02
2.591687853639511041e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.495825211183241313e-02 8.065020984706464113e-02 1.030534463083973840e-01 1.057177896556289465e-01 1.059867874736656196e-01 1.060134896915321950e-01 1.060161854684836258e-01 1.060164552261299853e-01 1.060164824478492251e-01
2.871944845308725403e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.217720210868125652e-02 9.140956969773461616e-02 1.254046543704150640e-01 1.296434450697952490e-01 1.300767475918876426e-01 1.301157193895838560e-01 1.301199047291541622e-01 1.301203498728750463e-01 1.301203929008025173e-01
3.182507948599050396e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.382982681912257344e-03 1.006355888023615919e-01 1.508664841413871749e-01 1.574997611418187116e-01 1.581839784823686479e-01 1.582523794070234413e-01 1.582591124110956926e-01 1.582598000301544405e-01 1.582598686599181459e-01
3.526654371319368209e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.787788667647842722e-03 1.071396403732921970e-01 1.792172845159917816e-01 1.894517269029625250e-01 1.905157916056953726e-01 1.906202421612131770e-01 1.906306191565598218e-01 1.906316435206341364e-01 1.906317453354336999e-01
3.908015708246992403e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.525680277509101443e-03 1.097528368806718196e-01 2.100286072088349276e-01 2.255761759341219919e-01 2.272094330335047707e-01 2.273726095334937802e-01 2.273892677984566402e-01 2.273908575586042757e-01 2.273910219329218219e-01
4.330616263422369383e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.708073815972904339e-03 1.076477389636845972e-01 2.425634898348471014e-01 2.657865097549352296e-01 2.682554992831150398e-01 2.685045511897797277e-01 2.685303495908377691e-01 2.685326871173805419e-01 2.685315048215373146e-01
4.798915516496440326e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.402892282405071534e-03 1.005849353744531494e-01 2.756970202304593887e-01 3.099024090775635010e-01 3.136253201956644143e-01 3.139800651125044806e-01 3.140170096042959047e-01 3.140207035363045684e-01 3.140210717090056169e-01
