# E_gamma_TeV tau_xi_1e+14 tau_xi_1e+13 tau_xi_1e+12 tau_xi_1e+11 tau_xi_1e+10 tau_xi_1e+09 tau_xi_1e+08 tau_xi_1e+07 tau_xi_1e+06 tau_xi_1e+04 tau_xi_1e+02
1.044588305691332231e+01 6.877752229106467840e+17 5.699690049499429000e+15 4.521763431392914844e+13 3.343866447644920044e+11 2.167237037557625771e+09 1.022617878491832875e+07 4.502028306739655932e+02 2.602929969237926855e+00 2.562589996934811598e+00 2.562189590364668756e+00 2.562189550343974442e+00
1.157546807107612530e+01 8.574770703542094080e+17 7.128038820286843000e+15 5.681582078883279688e+13 4.235152647400510254e+11 2.789851767079112530e+09 1.375650925774336420e+07 6.683211842182487089e+03 3.018746459367219970e+00 2.939390708865989410e+00 2.938594585195404285e+00 2.938594507069853812e+00
1.282720286398612508e+01 1.068816867201566848e+18 8.911413906703127000e+15 7.135210396865500000e+13 5.359033250920797119e+11 3.583857307182738304e+09 1.838473409011558816e+07 2.163345852227681098e+04 3.616940027610639596e+00 3.456545945320808499e+00 3.454986725543931492e+00 3.454986572968909542e+00
1.421429632940602517e+01 1.331967402239482880e+18 1.113745604732840400e+16 8.956331498114043750e+13 6.775236171160432129e+11 4.595026229978584290e+09 2.443016379151512682e+07 4.533959018289883534e+04 4.501504252069820744e+00 4.171296864833253792e+00 4.168174393229544528e+00 4.168174084152420633e+00
1.575138572941993864e+01 1.659625171721543680e+18 1.391530328060994800e+16 1.123695448720056875e+14 8.558633876882388916e+11 5.881093954629426003e+09 3.229976014624356478e+07 7.886351673935707367e+04 5.843960360174614621e+00 5.155471211836730738e+00 5.149188890474747815e+00 5.149188263523718057e+00
1.745469115370143243e+01 2.067308001660494336e+18 1.738088556073530400e+16 1.409194016620164062e+14 1.080304399875177490e+12 7.514834435034388542e+09 4.251163673420251906e+07 1.243859866525781836e+05 7.946163500593826257e+00 6.496020113030971821e+00 6.483396524105586423e+00 6.483395264360447108e+00
1.934218668152204401e+01 2.574975430671673344e+18 2.170336378246978400e+16 1.766463801863920312e+14 1.362597593717474365e+12 9.587916369765451431e+09 5.572472430881465226e+07 1.853753526933266548e+05 1.139365714386954131e+01 8.294944251097133403e+00 8.269950085283426233e+00 8.269947593671018282e+00
2.143379005268239013e+01 3.206660668774961152e+18 2.709337335090584400e+16 2.213390758276559375e+14 1.717455794565469482e+12 1.221573600317992973e+10 7.277617890567100048e+07 2.667655204858666984e+05 1.745747639767924753e+01 1.066999618484011592e+01 1.062092316854470475e+01 1.062091802000258056e+01
2.375157284886238784e+01 3.992888206417793536e+18 3.381302288453996000e+16 2.772285688409095938e+14 2.163293317357872314e+12 1.554347146042468452e+10 9.472851457757228613e+07 3.752059264162064646e+05 2.930152412536485684e+01 1.375491679493486430e+01 1.365917729660350588e+01 1.365916751721118771e+01
2.631999340332326653e+01 4.971200194314536960e+18 4.218842285183922400e+16 3.470972381032589375e+14 2.723149140812295898e+12 1.975366430604945374e+10 1.229289473076369017e+08 5.194208894936344586e+05 5.629965127214077114e+01 1.768886434745065017e+01 1.750988789845108684e+01 1.750987002200241349e+01
