# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
4.330616263422369383e-01 7.155694325861389160e+10 4.533294591145933151e+09 2.015338196657320559e+08 1.660786418513084728e+00 3.115002532776485755e-01 2.724621967061156558e-01 2.689233954216862510e-01 2.685722057197661994e-01 2.685358195234450185e-01 2.685333509688126452e-01 2.685315716808324704e-01
4.798915516496440326e-01 8.329306431947871399e+10 5.401491712988175392e+09 2.618363209902980328e+08 2.024259504965476299e+04 3.810271923524159443e-01 3.200415094731822174e-01 3.146184485062734626e-01 3.140794888562387643e-01 3.140269942098584677e-01 3.140216998574729690e-01 3.140211717938549141e-01
5.317855181255572994e-01 9.674836956368405151e+10 6.408548474648400307e+09 3.318805097286261320e+08 1.600773277378710452e+06 4.674514733402853617e-01 3.723635044112190706e-01 3.642366764301629423e-01 3.634348018548170245e-01 3.633543072523432449e-01 3.633463005677509683e-01 3.633455002163338832e-01
5.892911352907692635e-01 1.121561239689217987e+11 7.574683956298344612e+09 4.133416352082175016e+08 5.542723898774432950e+06 5.770930983652311497e-01 4.294568282298852901e-01 4.174161196957330566e-01 4.162289443268307187e-01 4.161102293425655296e-01 4.160981195718452263e-01 4.160969406351852085e-01
6.530152294412288061e-01 1.297799076444227905e+11 8.922697633859912872e+09 5.081945932449483871e+08 1.132593902072266489e+07 7.207548156129318651e-01 4.909462885519953468e-01 4.733458587696492414e-01 4.716275761142754708e-01 4.714569721520179835e-01 4.714398391690921564e-01 4.714381250200316287e-01
7.236302471642841461e-01 1.499174841766467285e+11 1.047832251900810242e+10 6.187053336361935139e+08 1.869568384402987361e+07 9.179587201406248509e-01 5.565504966485944616e-01 5.311382301446337939e-01 5.286964145233185031e-01 5.284500393447426614e-01 5.284256275772731826e-01 5.284231741113329939e-01
8.018813513110725211e-01 1.729051394778490601e+11 1.227062265258438301e+10 7.474403609505957365e+08 2.755858052248607576e+07 1.208709641133359547e+00 6.263497535065982724e-01 5.899375507480598690e-01 5.864476081502373317e-01 5.860947145059076657e-01 5.860598119191826605e-01 5.860563160368287283e-01
8.885942843051027884e-01 1.991225523022267761e+11 1.433243903111397552e+10 8.972905922924987078e+08 3.796060467559411377e+07 1.734600100953689994e+00 7.004005959717014562e-01 6.487894065318823289e-01 6.438889098726939819e-01 6.433966349514436134e-01 6.433483729971258835e-01 6.433435143312921101e-01
9.846840817643484067e-01 2.289982604163091431e+11 1.670088939076022720e+10 1.071506888411763906e+09 5.006169835358192027e+07 4.573553484184379236e+00 7.795088224888232498e-01 7.068233917730146754e-01 7.000331911101516091e-01 6.993639006224890986e-01 6.992964381585817790e-01 6.992896897844941284e-01
1.091164728387089111e+00 2.630157949589098206e+11 1.941792823973077393e+10 1.273745528043708086e+09 6.411388837653174996e+07 1.163308368376527214e+05 8.651005532218480898e-01 7.632611880882086419e-01 7.539313751698413224e-01 7.530156631735720474e-01 7.529196337624228796e-01 7.529104100741327299e-01
